CODMUN_LLEGADA;ND;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
08675;0;0;0;0;0;0;0;0;0;0;0;0;7;0;6;4;8;35;90;102;25;14;32;34;12;7;8;0;0;0
08685;0;0;5;0;1;0;0;0;0;6;3;0;0;4;6;28;114;578;153;250;117;197;184;160;76;33;11;7;25;5
08758;38;13;25;12;33;46;32;72;63;108;146;102;143;371;775;1047;2827;7144;6231;6716;3840;3855;4814;3150;2633;2151;920;737;1316;97
08770;0;0;0;0;0;0;0;6;0;0;11;0;0;0;9;0;10;12;26;25;9;48;11;14;3;3;0;0;0;0
08832;0;0;0;0;0;0;0;0;0;0;0;2;8;0;0;9;22;20;19;99;47;78;29;12;7;11;5;5;11;0
08849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;4;18;8;11;1;0;13;0;0;0;0;0
11001;215;47;65;90;42;70;133;183;185;224;289;288;621;1980;4929;5844;4129;7421;22153;43947;23401;25550;31371;39668;47808;43601;24542;16629;30917;8843
13001;35;74;34;26;68;85;85;180;118;217;267;217;441;608;2699;2422;2155;12148;14329;11597;6235;5485;6072;7256;5334;4163;1903;1414;1153;294
13006;0;0;0;0;0;3;7;11;5;5;4;6;12;0;113;516;62;91;186;273;93;74;36;73;16;14;3;12;13;10
13030;0;2;0;0;0;4;10;0;1;12;6;9;6;0;30;1763;142;105;50;24;30;29;8;60;10;4;14;2;26;25
13042;0;3;0;12;0;6;0;1;0;10;0;12;2;19;27;283;193;267;133;334;126;136;36;62;35;56;9;6;14;38
13052;15;6;0;0;2;0;4;4;6;15;7;0;17;22;32;25;85;364;758;928;449;382;306;383;279;108;86;65;37;10
13062;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;6;24;0;0;0;0;0;0;0;0;3;0
13074;0;0;0;0;0;0;0;0;0;0;2;0;0;0;11;777;2399;348;425;119;82;9;0;305;12;5;5;24;135;13
13140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;18;13;17;17;5;33;19;0;7;0;0;6;0
13160;0;0;0;0;0;0;0;3;0;0;0;0;0;5;0;3;10;230;107;428;3;38;182;226;172;75;37;22;20;14
13188;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;10;12;0;20;8;11;18;0;0;0;11;2;8;0
13212;28;0;1;0;1;0;1;11;10;1;0;4;17;0;41;419;53;258;1608;1078;308;150;123;119;83;0;16;24;11;10
13222;0;0;0;0;0;0;0;1;0;0;0;3;4;6;4;33;22;71;170;76;97;36;23;38;36;17;1;19;9;7
13244;2;0;0;0;0;8;29;23;65;66;42;41;65;194;614;773;3877;19799;7433;1258;687;1477;1213;753;381;169;114;76;49;75
13248;0;2;0;0;0;0;0;0;0;0;10;0;6;66;56;20;11;5;17;17;13;16;39;53;38;6;1;0;2;0
13268;0;0;0;0;0;0;5;0;0;0;9;0;0;4;3;10;10;81;21;23;501;12;21;28;9;9;0;5;27;0
13300;0;0;0;0;0;0;0;0;0;7;0;5;0;1;0;32;7;6;0;8;7;0;0;6;8;12;2;8;8;0
13430;9;20;14;23;26;28;39;63;26;49;51;61;109;99;331;2044;1353;5356;3581;3814;942;1090;1739;820;477;354;319;265;455;98
13433;0;0;0;0;0;0;5;6;6;26;31;13;7;1;22;36;23;59;550;92;61;28;65;48;42;35;15;16;17;5
13440;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;16;10;0;8;5;0;0;2;13;0;1;0;8;0
13442;18;8;0;0;0;7;5;18;20;23;14;6;17;9;280;58;202;1618;6769;829;561;848;694;716;431;138;54;25;29;18
13458;1;0;0;0;0;9;16;26;0;9;31;4;13;12;38;3475;154;910;417;260;91;78;20;99;186;47;21;4;37;25
13468;0;3;1;0;0;0;0;6;0;1;2;0;0;6;6;61;42;11;15;69;83;54;36;13;40;29;11;0;9;0
13473;6;0;0;0;4;0;0;3;0;5;1;7;4;33;37;270;141;407;323;375;82;179;184;163;195;158;39;35;44;1
13490;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3768;9;4;0;0;0;5;0;0;0;14;0;11;3;6
13549;5;7;2;0;0;13;11;4;7;21;3;14;13;16;32;89;48;91;518;271;70;49;49;90;77;71;31;4;14;2
13580;12;0;0;0;0;8;0;5;0;7;0;0;6;12;88;222;26;56;87;39;53;335;59;26;58;46;22;39;37;0
13600;0;0;0;0;0;4;0;3;0;12;12;3;18;11;45;1162;88;466;249;259;55;67;54;71;100;52;27;10;134;24
13620;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;12;0;1;6;0;0;0;0;0
13647;1;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;1;0;4;29;297;7;12;0;7;0;0;0;1;0
13650;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;0;0;0;0;0;10;0;0;0;0;0;0
13654;0;1;0;0;0;2;6;11;12;15;8;8;13;194;223;226;4076;2360;1210;1062;799;157;239;102;95;51;25;26;69;31
13655;0;0;0;0;0;1;5;6;0;0;8;0;8;4;39;97;73;75;43;363;11;51;118;9;13;27;5;14;22;1
13657;29;0;4;4;0;1;32;0;27;31;53;44;42;220;288;75;393;1952;846;2665;269;353;584;3317;756;55;63;35;47;16
13667;0;7;11;0;0;0;0;0;0;0;2;10;7;18;13;1183;82;283;135;44;30;13;20;3;10;13;1;17;11;0
13670;1;12;6;0;0;9;0;7;4;3;3;7;4;30;90;656;357;940;1780;1677;1151;1604;4292;2882;2991;2407;1081;622;785;120
13673;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;6;13;18;13;36;9;3;19;7;7;0;5;9;0
13683;0;9;1;0;0;0;3;5;5;10;7;7;32;7;10;28;14;858;377;43;321;251;844;546;228;173;163;4;0;11
13688;0;3;0;0;0;1;7;0;0;5;4;4;2;1;29;26;25;250;1882;729;284;257;352;616;1386;959;431;415;407;151
13744;0;0;3;0;0;1;0;1;0;4;2;8;13;15;38;337;827;154;160;119;112;111;337;317;293;223;144;99;108;9
13760;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;13;26;18;17;12;13;25;0;0;0;6;0;0;0
13780;0;0;0;0;0;0;0;0;0;0;0;0;0;4;15;15;12;3;6;15;0;29;4;0;0;0;0;0;0;0
13810;2;0;0;0;0;0;2;23;2;7;8;12;0;9;142;2928;1200;996;583;248;241;512;156;140;86;61;22;33;79;18
13836;0;4;10;0;0;1;4;0;32;13;19;0;27;30;25;74;189;744;787;544;470;186;155;158;196;134;100;55;76;21
13838;3;0;0;1;0;0;0;5;0;4;0;0;0;0;4;6;8;2;31;20;12;0;8;24;5;17;12;0;8;14
13873;0;0;0;0;0;3;0;0;0;0;0;4;0;1;7;21;21;181;1142;301;109;92;81;79;36;42;32;14;10;7
13894;0;4;1;0;0;1;0;9;20;0;19;17;15;11;39;66;784;2674;1259;638;56;37;36;23;10;20;14;18;29;28
15001;3;0;0;0;0;0;0;0;38;0;0;4;4;5;9;24;27;252;332;290;274;203;205;208;150;116;91;67;61;16
15022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
15047;0;0;0;0;0;0;0;0;0;8;0;5;0;0;9;0;0;0;9;6;104;49;22;7;3;10;7;8;8;0
15051;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;8;19;9;12;5;23;0;0;2;4
15087;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;25;10;12;3;0;11;8
15090;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;5;8;12;13;8;0;5;8;1;0
15092;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;5;0;0;0;0;0;0
15097;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;7;0;0;0;3;0;0
15104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;1;14;1;0;0;2;0;5;16;0;0;0
15106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;3;0;0;0
15109;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;9;5;1;4;0;2;2;12;6;0;3;0
15131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;7;0;1;0;0;10;0;0
15135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;20;0;0;0;6;14;0;1;3;0;0
